t,roll_true_deg,pitch_true_deg,yaw_true_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_g,ay_g,az_g,mx,my,mz,temp_c
23.47,-114.86124747042531,-66.55602699985724,175.15243582106635,-0.3853941852468744,0.263744891730743,0.4616057804349593,-0.9134292543204987,0.34080885184643583,0.15742906988571154,-0.7108969586177541,-0.595777110344789,-0.31393683368317843,29.610552431258014
23.48,-114.51426968101778,-66.38211869265872,174.5264581322917,-0.38602603409722586,0.25979631464051384,0.46037591218035234,-0.920904264479329,0.40075557224876274,0.16153515722421813,-0.7195125159209504,-0.6025620322248774,-0.32329495060113106,29.611519171583968
23.490000000000002,-114.17414924250409,-66.2067500538117,173.90516684591697,-0.39209353834389044,0.2629021670844592,0.45638395443044294,-0.8957795662088518,0.3588105720584343,0.13720558276374042,-0.7242639508096775,-0.5976403671436817,-0.32368297671430146,29.61248475903015
23.5,-113.84082483510842,-66.02994678551799,173.28850704298446,-0.3922163640597868,0.2650984407342439,0.461756748450037,-0.9185384709202733,0.3839183893159143,0.1326691784674976,-0.7290040604494092,-0.5879509804303135,-0.3269739290936632,29.613449193355166
23.51,-113.51423415336849,-65.85173439620132,172.67642286963417,-0.39636778890737523,0.27174091762590996,0.4574430599136293,-0.8882878480361449,0.38008415360584485,0.18324092571105655,-0.7436351543897792,-0.6102157532515461,-0.322553492431405,29.61441247431791
23.52,-113.1943140138131,-65.67213819632583,172.06885764469322,-0.40371390618716707,0.26959095085660906,0.46659961940971034,-0.8996097576913697,0.3948370510589154,0.1656005424214956,-0.7439942751541302,-0.5809777202556232,-0.33773996368806924,29.615374601677555
23.53,-112.88100045760994,-65.49118329479286,171.46575396225117,-0.4090853376388638,0.27555870132094085,0.4592870281300763,-0.8943812123362429,0.3726802052805323,0.17187747250017296,-0.7298708684005959,-0.5837430435531764,-0.34501568385481435,29.616335575193574
23.54,-112.57422884827741,-65.30889459588342,170.86705378931225,-0.4075849007406402,0.27514659677688,0.4720944817059738,-0.928691621116477,0.33789891183153475,0.15412156840694974,-0.7412935203272252,-0.5824364223122492,-0.3633640231909745,29.617295394625728
23.55,-112.27393396455987,-65.12529679671287,170.27269855862778,-0.4080790759959147,0.2710870578777863,0.4681246979406118,-0.8976528341405126,0.3939954307535166,0.16674273762423275,-0.7283994346112178,-0.5733751099082904,-0.3621490216948704,29.618254059734053
23.56,-111.98005008858031,-64.94041438516622,169.68262925681876,-0.41207369919670783,0.27769398873099843,0.4698407047736038,-0.9315536801452681,0.39002076456685086,0.14255130384182807,-0.7336792739562059,-0.5618547490271643,-0.3660232187012335,29.61921157027889
